REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1,2002,GBR,GBR,17.1,22.9,0.19369,145.27063,-14.8519
2,2006,GBR,GBR,0.5,48.8,-1.57175,145.35517,-14.78517
3,2006,GBR,GBR,0.4,31.9,-0.92322,145.37223,-14.7553
4,2006,GBR,GBR,1.3,21.8,-0.49023,145.46923,-14.69147
5,2006,GBR,GBR,0.9,27.8,-0.74306,145.491,-14.64833
6,2006,GBR,GBR,2.2,25.6,-0.59811,145.51577,-14.74355
7,2005,GBR,GBR,1.1,16,-0.27646,145.57095,-16.38352
8,2006,GBR,GBR,2,28.8,-0.73161,145.58198,-14.52352
9,2006,GBR,GBR,2,23.4,-0.51953,145.61827,-14.57012
10,2006,GBR,GBR,1.2,19.7,-0.41323,145.64533,-14.62787
11,2005,GBR,GBR,0.8,27,-0.71595,145.65455,-16.04263
12,2006,GBR,GBR,0.5,24.5,-0.63434,145.84515,-16.07158
13,2006,GBR,GBR,0.2,29.3,-0.83107,145.86877,-16.03838
14,2005,GBR,GBR,7,20.7,-0.18801,145.9062,-16.20343
15,2005,GBR,GBR,3.5,9.5,0.08424,145.98045,-16.77532
16,2005,GBR,GBR,0.3,15.3,-0.28766,145.99313,-16.92315
17,2006,GBR,GBR,1,23.6,-0.5726,146.02267,-16.49935
18,2005,GBR,GBR,0.9,23,-0.55951,146.05,-16.54865
19,2006,GBR,GBR,1,11.1,-0.0929,146.19812,-16.7988
20,2005,GBR,GBR,9.6,47.5,-1.10541,146.42742,-18.8125
21,2005,GBR,GBR,51.2,7.9,2.34224,146.53737,-18.8315
22,2005,GBR,GBR,6.5,40,-0.95733,146.8102,-19.19415
23,2006,GBR,GBR,15.5,7.3,0.72097,146.87865,-18.47182
24,2005,GBR,GBR,13.8,1.3,0.87537,147.08147,-18.61882
25,2005,GBR,GBR,1.2,29.5,-0.79301,147.38127,-18.25717
26,2005,GBR,GBR,2.6,29.2,-0.71754,147.4519,-18.39987
27,2005,GBR,GBR,23.8,31.3,0.17448,147.66862,-18.806
28,2006,GBR,GBR,2.1,11.4,-0.05161,147.7217,-18.65212
29,2005,GBR,GBR,0.1,21.8,-0.54877,148.87378,-20.07727
30,2005,GBR,GBR,0,45.6,-1.46813,148.8994,-20.05698
31,2005,GBR,GBR,0,27.4,-0.76683,149.03772,-20.1819
32,2006,GBR,GBR,0.4,16.7,-0.33516,149.38033,-19.76625
33,2005,GBR,GBR,0.6,39.3,-1.20253,149.43047,-19.80687
34,2005,GBR,GBR,1.3,48.3,-1.51743,149.6951,-20.02943
36,2005,GBR,GBR,0.3,15.2,-0.28339,150.0808,-19.73872
37,2004,GBR,GBR,0.1,19.1,-0.44178,150.16142,-19.7922
38,2006,GBR,GBR,0.2,26.2,-0.7099,151.94255,-23.24957
39,2006,GBR,GBR,3.9,27,-0.57521,151.97623,-23.31722
40,2006,GBR,GBR,0.3,43.7,-1.38087,152.08878,-23.48365
41,2006,GBR,GBR,2.9,31.8,-0.8023,152.18695,-21.86258
43,2006,GBR,GBR,0,72.3,-2.49934,152.41978,-23.8835
44,2006,GBR,GBR,0.4,11,-0.11684,152.48017,-21.97585
45,2006,GBR,GBR,1.6,9.9,-0.01689,152.56012,-21.70308
46,2006,GBR,GBR,0.8,13.2,-0.18209,152.5665,-21.46982
47,2006,GBR,GBR,0.4,15.8,-0.29943,152.61893,-22.02315
48,2005,GBR,GBR,0.1,37.6,-1.15719,152.66857,-21.99795
76,2001,Hawaiian Islands,Indo-Pacific,0.1,32.1,-0.94551,-155.83595,20.02865
239,2000,Hawaiian Islands,Indo-Pacific,4.3,5.7,0.26725,-159.72667,22.14667
